@relation parking

@attribute id numeric
@attribute day_of_week {monday, tuesday, wednesday, thursday, friday, saturday, sunday}
@attribute minutes numeric
@attribute free numeric 

@data
9,thursday,1320,336
1,monday,300,310
4,wednesday,480,503
5,friday,900,83
8,wednesday,780,17
12,thursday,0,109
8,wednesday,780,12
2,thursday,780,67
10,thursday,300,327
6,monday,240,104
2,thursday,780,69
10,thursday,300,325
12,thursday,0,118
8,wednesday,780,30
8,wednesday,780,27
2,sunday,960,218
9,tuesday,840,257
1,tuesday,0,293
5,sunday,1380,232
1,tuesday,0,296
6,tuesday,660,72
6,saturday,840,82
8,sunday,1380,127
5,tuesday,360,287
6,tuesday,660,86
4,thursday,900,341
2,thursday,780,36
138,wednesday,60,0
5,sunday,1380,244
12,monday,1320,105
12,sunday,900,84
5,saturday,960,179
138,sunday,660,0
2,thursday,780,23
12,monday,1320,99
12,sunday,900,82
12,sunday,900,79
5,wednesday,780,58
10,thursday,300,384
1,sunday,600,307
9,tuesday,840,311
12,monday,1320,83
138,wednesday,1200,0
1,sunday,600,308
10,thursday,300,385
9,wednesday,180,350
12,wednesday,300,126
5,friday,900,160
12,wednesday,300,125
6,saturday,840,88
1,wednesday,420,306
4,thursday,900,355
1,friday,900,199
5,saturday,960,127
5,wednesday,780,27
138,monday,1080,0
10,friday,1080,134
5,thursday,480,265
5,thursday,480,267
2,sunday,1320,318
5,wednesday,780,41
2,sunday,1320,319
5,wednesday,780,34
8,sunday,1380,175
4,thursday,900,263
4,monday,0,501
4,monday,0,500
4,thursday,900,261
5,wednesday,780,31
10,monday,180,382
12,monday,960,109
10,monday,180,390
2,monday,660,126
10,monday,180,391
6,wednesday,720,69
6,wednesday,720,70
10,monday,180,388
2,sunday,1320,350
6,wednesday,720,72
10,monday,1260,42
12,monday,960,96
10,tuesday,1320,242
1,friday,900,238
6,sunday,1260,98
5,thursday,480,279
5,thursday,480,281
6,sunday,1260,100
9,wednesday,1260,328
9,wednesday,1260,330
10,wednesday,1380,183
9,wednesday,1260,320
4,wednesday,480,425
9,wednesday,1260,322
138,friday,180,0
10,friday,0,235
4,thursday,1260,469
10,wednesday,1380,189
10,friday,1080,96
10,tuesday,1320,196
138,saturday,240,0
10,thursday,1020,17
10,wednesday,1380,227
9,monday,60,350
10,wednesday,1380,229
9,thursday,1320,332
1,friday,120,298
5,thursday,840,100
6,friday,780,76
5,tuesday,0,244
5,monday,300,273
